;author_email;author_name;authored_date;committed_date;committer_email;committer_name;created_at;id;message;parent_ids;project_id;short_id;stats;title;commitedDay;commitedCW
0;an_author@gitlab.com;Joe GitLab;2019-01-16 22:31:50+00:00;2019-01-16 22:31:50+00:00;an_author@gitlab.com;Joe GitLab;2019-01-16 22:31:50+00:00;9cc56d44429547fa31c962d05443640c6afe4f3d;A commit message;['35a6edfbbd4a1be05c92a00627c314e54bfd1e5e', 'cac6f474f1a1228a7671d7051a086a2cb15f757e'];25328;9cc56d44;{'additions': 67, 'deletions': 1, 'total': 68};A commit message;16/01/2019;2019-02
1;an_author@gitlab.com;Joe GitLab;2019-01-16 23:39:40+00:00;2019-01-16 23:39:40+00:00;an_author@gitlab.com;Joe GitLab;2019-01-16 23:39:40+00:00;9651d6987d3821c4f4d33aedd2408d77053e82e4;A commit message;['9cc56d44429547fa31c962d05443640c6afe4f3d'];25328;9651d698;{'additions': 0, 'deletions': 0, 'total': 0};A commit message;16/01/2019;2019-02
2;an_author@gitlab.com;Joe GitLab;2019-01-18 09:31:19+00:00;2019-01-18 09:31:19+00:00;an_author@gitlab.com;Joe GitLab;2019-01-18 09:31:19+00:00;59d0ea5d2a1ab012c8be68d13d166f73361fa0e0;A commit message;['9651d6987d3821c4f4d33aedd2408d77053e82e4'];25328;59d0ea5d;{'additions': 0, 'deletions': 0, 'total': 0};A commit message;18/01/2019;2019-02
3;an_author@gitlab.com;Joe GitLab;2019-01-18 09:50:17+00:00;2019-01-18 09:50:17+00:00;an_author@gitlab.com;Joe GitLab;2019-01-18 09:50:17+00:00;561cfce521ff13eb11eefa27ea59807fc2156cd3;A commit message;['59d0ea5d2a1ab012c8be68d13d166f73361fa0e0'];25328;561cfce5;{'additions': 0, 'deletions': 0, 'total': 0};A commit message;18/01/2019;2019-02
4;an_author@gitlab.com;Joe GitLab;2019-01-18 17:43:17+00:00;2019-01-18 17:43:17+00:00;an_author@gitlab.com;Joe GitLab;2019-01-18 17:43:17+00:00;de87eadeae16b6406d24d80527940b5711262226;A commit message;['53a1ed4dc62b7350832b4028e393fdb610a8f1ae'];25328;de87eade;{'additions': 0, 'deletions': 0, 'total': 0};A commit message;18/01/2019;2019-02
5;an_author@gitlab.com;Joe GitLab;2019-01-19 11:38:16+00:00;2019-01-19 11:38:16+00:00;an_author@gitlab.com;Joe GitLab;2019-01-19 11:38:16+00:00;6ce8503653a32bf9c05149fa25dbb74dfadb16f2;A commit message;['de87eadeae16b6406d24d80527940b5711262226'];25328;6ce85036;{'additions': 0, 'deletions': 0, 'total': 0};A commit message;19/01/2019;2019-02
6;an_author@gitlab.com;Joe GitLab;2019-01-20 13:50:48+00:00;2019-01-20 13:50:48+00:00;an_author@gitlab.com;Joe GitLab;2019-01-20 13:50:48+00:00;1e6db295c63d598a4a9959de90157113ba89925d;A commit message;['6ce8503653a32bf9c05149fa25dbb74dfadb16f2'];25328;1e6db295;{'additions': 0, 'deletions': 0, 'total': 0};A commit message;20/01/2019;2019-03
7;an_author@gitlab.com;Joe GitLab;2019-01-20 21:01:56+00:00;2019-01-20 21:01:56+00:00;an_author@gitlab.com;Joe GitLab;2019-01-20 21:01:56+00:00;2d054e644febd3ff36e5016238d66354cab93920;A commit message;['1e6db295c63d598a4a9959de90157113ba89925d'];25328;2d054e64;{'additions': 2, 'deletions': 4, 'total': 6};A commit message;20/01/2019;2019-03
8;an_author@gitlab.com;Joe GitLab;2019-01-21 15:32:39+00:00;2019-01-21 15:32:39+00:00;an_author@gitlab.com;Joe GitLab;2019-01-21 15:32:39+00:00;ff2d320c579c2a965e1688e3a48d05bf646561c9;A commit message;['2d054e644febd3ff36e5016238d66354cab93920'];25328;ff2d320c;{'additions': 2, 'deletions': 0, 'total': 2};A commit message;21/01/2019;2019-03
9;an_author@gitlab.com;Joe GitLab;2019-01-21 16:55:59+00:00;2019-01-21 16:55:59+00:00;an_author@gitlab.com;Joe GitLab;2019-01-21 16:55:59+00:00;643d972d175f8752cda77ee391e710f30d167632;A commit message;['ff2d320c579c2a965e1688e3a48d05bf646561c9'];25328;643d972d;{'additions': 0, 'deletions': 0, 'total': 0};A commit message;21/01/2019;2019-03
10;an_author@gitlab.com;Joe GitLab;2019-01-22 10:50:44+00:00;2019-01-22 10:50:44+00:00;an_author@gitlab.com;Joe GitLab;2019-01-22 10:50:44+00:00;6622c8bf4fb17c68e2adbcc4062ccc5071de0a52;A commit message;['643d972d175f8752cda77ee391e710f30d167632'];25328;6622c8bf;{'additions': 0, 'deletions': 0, 'total': 0};A commit message;22/01/2019;2019-03
11;an_author@gitlab.com;Joe GitLab;2019-01-22 14:25:41+00:00;2019-01-22 14:25:41+00:00;an_author@gitlab.com;Joe GitLab;2019-01-22 14:25:41+00:00;d47b163c0204cf80d03f88f6ecd24818baac8c70;A commit message;['6622c8bf4fb17c68e2adbcc4062ccc5071de0a52'];25328;d47b163c;{'additions': 0, 'deletions': 0, 'total': 0};A commit message;22/01/2019;2019-03
12;an_author@gitlab.com;Joe GitLab;2019-01-23 08:15:14+00:00;2019-01-23 08:15:14+00:00;an_author@gitlab.com;Joe GitLab;2019-01-23 08:15:14+00:00;7095d1a367aa9b7b2bef40189eaa520376b6d7e1;A commit message;['d47b163c0204cf80d03f88f6ecd24818baac8c70'];25328;7095d1a3;{'additions': 0, 'deletions': 0, 'total': 0};A commit message;23/01/2019;2019-03
13;an_author@gitlab.com;Joe GitLab;2019-01-23 14:31:39+00:00;2019-01-23 14:31:39+00:00;an_author@gitlab.com;Joe GitLab;2019-01-23 14:31:39+00:00;60c0747ab84a78d6c215773df73af2bead5304ae;A commit message;['7095d1a367aa9b7b2bef40189eaa520376b6d7e1'];25328;60c0747a;{'additions': 3, 'deletions': 0, 'total': 3};A commit message;23/01/2019;2019-03
14;an_author@gitlab.com;Joe GitLab;2019-01-23 18:13:44+00:00;2019-01-23 18:13:44+00:00;an_author@gitlab.com;Joe GitLab;2019-01-23 18:13:44+00:00;6cc20636a3eeb02f82949a4b49adc5a73a0e7b65;A commit message;['60c0747ab84a78d6c215773df73af2bead5304ae'];25328;6cc20636;{'additions': 0, 'deletions': 0, 'total': 0};A commit message;23/01/2019;2019-03
15;an_author@gitlab.com;Joe GitLab;2019-01-23 18:14:21+00:00;2019-01-23 18:14:21+00:00;an_author@gitlab.com;Joe GitLab;2019-01-23 18:14:21+00:00;9d81b056d406e79094b99f63e8c697f88bf456e9;A commit message;['6cc20636a3eeb02f82949a4b49adc5a73a0e7b65'];25328;9d81b056;{'additions': 0, 'deletions': 0, 'total': 0};A commit message;23/01/2019;2019-03
16;an_author@gitlab.com;Joe GitLab;2019-01-23 18:53:46+00:00;2019-01-23 18:53:46+00:00;an_author@gitlab.com;Joe GitLab;2019-01-23 18:53:46+00:00;82c38d2d291305dddcfc2724c32ed66daa755fb7;A commit message;['9d81b056d406e79094b99f63e8c697f88bf456e9'];25328;82c38d2d;{'additions': 0, 'deletions': 0, 'total': 0};A commit message;23/01/2019;2019-03
17;an_author@gitlab.com;Joe GitLab;2019-01-23 18:54:00+00:00;2019-01-23 18:54:00+00:00;an_author@gitlab.com;Joe GitLab;2019-01-23 18:54:00+00:00;10a7337ae5f9aa0ccbc0867beb798afb9ebd7247;A commit message;['82c38d2d291305dddcfc2724c32ed66daa755fb7'];25328;10a7337a;{'additions': 0, 'deletions': 0, 'total': 0};A commit message;23/01/2019;2019-03
18;an_author@gitlab.com;Joe GitLab;2019-01-23 19:24:01+00:00;2019-01-23 19:24:01+00:00;an_author@gitlab.com;Joe GitLab;2019-01-23 19:24:01+00:00;4924174aa67a611934cdcef131989b4b471d1bc6;A commit message;['10a7337ae5f9aa0ccbc0867beb798afb9ebd7247'];25328;4924174a;{'additions': 0, 'deletions': 0, 'total': 0};A commit message;23/01/2019;2019-03
19;an_author@gitlab.com;Joe GitLab;2019-01-28 11:05:24+00:00;2019-01-28 11:05:24+00:00;an_author@gitlab.com;Joe GitLab;2019-01-28 11:05:24+00:00;b1d0f53199f2427edfa47d97cac45719f705a429;A commit message;['4924174aa67a611934cdcef131989b4b471d1bc6'];25328;b1d0f531;{'additions': 0, 'deletions': 0, 'total': 0};A commit message;28/01/2019;2019-04
